Kate	Jesus	Sam	Steph	Liam
0.72	0.60	0.61	0.64	0.58
0.70	0.62	0.67	0.66	0.66
0.69	0.61	0.56	0.73	0.65
0.66	0.59	0.63	0.6	0.68
0.67	0.65	0.67	0.6	0.65
0.58	0.65	0.62	0.61	0.65
0.60	0.61	0.61	0.66	0.66
0.66	0.66	0.63	0.59	0.66
0.62	0.69	0.64	0.59	0.6
0.59	0.69	0.62	0.63	0.66
0.59	0.60	0.58	0.6	0.6
0.59	0.59	0.59	0.68	0.66
0.56	0.59	0.61	0.66	0.56
0.65	0.62	0.64	0.63	0.68
0.62	0.67	0.58	0.69	0.63
0.60	0.63	0.60	0.61	0.65
0.57	0.64	0.59	0.68	0.66
0.69	0.61	0.66	0.6	0.65
0.63	0.64	0.62	0.65	0.65
0.67	0.66	0.62	0.62	0.61
